feature,importance
f-link-S-0,0.026297578773571383
D_mc-chi-2,0.024753296507470324
f-link-Z-2,0.024387477770488393
cell_22,0.02397017922731537
f-link-Z-1,0.02303975189748707
f-link-Z-3,0.022983415727801475
f-link-chi-0,0.02270001671011192
VF,0.022610255812787552
cell_00,0.02252588743830638
D_mc-chi-3,0.02246724743073688
cell_11,0.021583012524968623
f-link-Z-0,0.021536548646230835
density,0.021502902783102053
f-sbu-S-0,0.021454058017062332
lc-Z-2,0.021341307897817897
f-sbu-chi-3,0.02129716233166486
D_mc-S-2,0.02096526397154991
f-link-S-1,0.020786246353545253
mc-chi-2,0.020606932238683436
N_atoms,0.020250016077971496
Di,0.02000497139151213
f-sbu-Z-3,0.01976809988528404
mc-chi-3,0.019728811203062076
mc-S-1,0.019715947163797914
Df,0.01968283480134879
Dif,0.019679379188369723
f-sbu-chi-2,0.01963639870705348
D_mc-S-3,0.01946611104109893
mc-T-3,0.01933489690278668
mc-S-2,0.019076349473969363
f-sbu-S-1,0.01869695132421727
f-sbu-chi-0,0.018656671185250502
D_mc-S-1,0.018531372095442068
f-link-T-3,0.018392385846216015
f-link-chi-1,0.018346081901204805
f-link-S-3,0.018335619810663305
mc-Z-2,0.018223220505571878
f-link-S-2,0.018134461284267996
D_mc-Z-2,0.018052871626639974
f-sbu-Z-2,0.018010457767301022
mc-Z-3,0.017788764298097788
f-sbu-chi-1,0.01776494548978354
f-sbu-Z-0,0.017607609729253605
mc-S-3,0.017588710080233223
f-sbu-S-3,0.017504952181922218
D_mc-Z-3,0.017398126022525336
f-link-T-2,0.017328197143462606
mc-chi-1,0.01718084833930163
f-link-chi-2,0.01670735028968267
f-link-T-1,0.016598045182006055
