feature,importance
f-link-S-0,0.030828373168197844
D_mc-chi-3,0.030791123215667855
f-link-Z-2,0.030451008419730512
D_mc-chi-2,0.030067140264622226
f-link-Z-3,0.02854232038856735
cell_22,0.028536873153504703
VF,0.027414268019327764
f-link-chi-0,0.027328739815157748
density,0.02719379940577095
cell_00,0.02705391101262263
f-link-Z-1,0.027031941053229043
cell_11,0.026999713363915066
f-sbu-S-0,0.02616596927165844
f-link-Z-0,0.02605483312110344
f-link-S-1,0.025876093339060855
f-sbu-chi-3,0.0252990727032162
D_mc-S-2,0.025294807454405443
Di,0.02513372351882664
f-sbu-Z-3,0.024663196240034466
N_atoms,0.024591726663521496
Dif,0.02454871909969945
D_mc-S-3,0.024338700228839542
mc-S-1,0.024320829508619805
Df,0.024289680885697957
mc-chi-3,0.02372502187190672
f-sbu-chi-0,0.023715069073957668
f-sbu-chi-2,0.023363191641285558
mc-S-2,0.023233747513076313
f-link-T-3,0.02312814124029951
mc-Z-2,0.023113577801854565
mc-T-3,0.02284848628216966
D_mc-S-1,0.022619920111755242
mc-S-3,0.022294547064309566
f-sbu-S-1,0.022199876753826432
f-link-S-2,0.022028937314858395
mc-chi-1,0.02136373023122072
f-link-T-2,0.021230501204206963
mc-Z-3,0.021072228773353643
f-sbu-chi-1,0.020749618798501866
f-link-T-1,0.020496841008419777
