feature,importance
mean_displacement_A,0.024925923
f-link-S-0,0.024546104
D_mc-chi-3,0.023537129
f-link-Z-2,0.023217919
f-link-Z-3,0.022916996
max_displacement_A,0.022773915
f-link-chi-0,0.022686712
f-link-Z-0,0.022654137
f-sbu-chi-3,0.022408893
D_mc-chi-2,0.022214321
mc-S-1,0.02165073
f-link-Z-1,0.021437241
f-sbu-S-0,0.021171279
cell_22_0,0.021145819
VF_0,0.020695519
cell_00_0,0.020509687
f-link-S-1,0.020361745
f-sbu-chi-0,0.020225062
D_mc-S-2,0.020147139
f-sbu-Z-3,0.020060025
cell_22_1,0.020034654
mc-chi-3,0.0200307
mean_abs_charge_diff,0.019943904
mc-chi-2,0.01993273
mc-T-3,0.019840135
density_0,0.019720448
D_mc-S-1,0.019673526
LCD_0,0.019268869
cell_11_0,0.019225047
density_1,0.019079306
f-sbu-S-1,0.019037518
D_mc-Z-2,0.018930648
opt_E,0.018890464
f-sbu-S-3,0.018804363
mc-S-3,0.018734072
mc-Z-2,0.018671513
LCD_1,0.018517872
PV_0,0.01849942
mc-S-2,0.018496954
PV_1,0.018279634
PLD_0,0.018219451
f-link-S-2,0.018188768
LFPD_1,0.018168649
f-link-S-3,0.018106257
init_E,0.017908896
cell_11_1,0.017703129
mc-chi-1,0.017419416
PLD_1,0.017353707
volume_1,0.017343935
f-link-T-0,0.016689723
