name,co2 uptake,co2 error,n2 uptake,n2 error
1515192_R_pacman,0.1839966,0.01480054,0.09644297,0.01068797
1515347_A_pacman,0.06296887,0.00183945,0.08467753,0.003336799
1515347_F_pacman,0.04642088,0.002974293,0.06708822,0.004376018
1515347_R_pacman,0.0460047,0.004804683,0.06451171,0.00294785
1515826_R_pacman,0.06026844,0.006970455,0.05924505,0.002086816
1515827_R_pacman,0.07421712,0.004855151,0.07996655,0.002836259
1515828_R_pacman,2.45E-05,6.79E-05,0,0
1515963_R_pacman,0.3251211,0.01430709,0.2153043,0.003613447
1515964_R_pacman,0.2771237,0.01569701,0.1832796,0.009768322
1516600_A_pacman,0.1983348,0.01154261,0.1467613,0.004714656
1516600_R_pacman,0.1988298,0.01553885,0.1323727,0.007881508
1516601_A_pacman,0.2017177,0.01125598,0.1547515,0.004683154
1516601_R_pacman,0.1981274,0.01611458,0.1407034,0.008301858
1516602_A_pacman,0.1961759,0.009832176,0.1461713,0.005828806
1516602_R_pacman,0.1948051,0.01688872,0.1238621,0.00516074
1516790_IF_pacman,0.3055758,0.02192864,0.1793383,0.01006939
1516790_R_pacman,0.4263403,0.01887865,0.1547211,0.01419654
1516896_R_pacman,0.01253615,0.008385703,0.001552176,0.000514921
1516917_F_pacman,0.002395317,0.0005515,0.004174871,0.001089681
1516917_R_pacman,0.005584902,0.003488042,0.0141976,0.004511836
1516918_F_pacman,0.002741665,0.000726348,0.004540057,0.000883189
1516918_R_pacman,0.007129899,0.005179139,0.01878607,0.00639933
1516919_F_pacman,0.002525391,0.001293068,0.004658692,0.001670712
1516919_R_pacman,0.008285752,0.00293726,0.02433768,0.004210144
1516920_F_pacman,0.003070205,0.000984679,0.004704167,0.001506755
1516920_R_pacman,0.004033405,0.004008289,0.008599411,0.003035744
1516922_F_pacman,0.05850158,0.02503974,0.006657609,0.001500835
1516922_R_pacman,0.04261306,0.02229258,0.001132728,0.000535364
1516975_R_pacman,0.06357272,0.001400721,0.1301968,0.005682717
1517043_F_pacman,0.09822449,0.03794166,0.005676454,0.001480131
1517043_R_pacman,0,0,0,0
1517058_F_pacman,0.0535297,0.01640269,0.000601739,0.001044828
1517058_R_pacman,0,0,0,0
1517148_A_pacman,0.1156305,0.004221503,0.1176329,0.007622671
1517148_R_pacman,0,0,0,0
1517297_F_pacman,0.3264838,0.04470108,0.1468269,0.009781364
1517297_R_pacman,0,0,0,0
1517465_A_pacman,0.1102385,0.003335071,0.1314331,0.002011049
1517465_R_pacman,0.06197671,0.003028645,0.05709173,0.001819879
1517466_A_pacman,0.07353883,0.004433495,0.1018677,0.002113914
1517466_R_pacman,0.03075672,0.001558559,0.03813672,0.001526279
1517467_F_pacman,0.07327418,0.003733589,0.09880548,0.002046145
1517467_R_pacman,0,0,0,0
1517468_A_pacman,0.06247903,0.00285216,0.09768862,0.00179494
1517468_R_pacman,0.01962013,0.00076431,0.03219079,0.002012855
1517469_F_pacman,0.1125374,0.003059719,0.1287507,0.004475117
1517469_R_pacman,0.05776305,0.002690281,0.05233311,0.002102711
1517495_R_pacman,0.1976002,0.01878185,0.1704693,0.008195641
1517577_A_pacman,0.1489592,0.01492042,0.1094051,0.006834706
1517577_R_pacman,0.1522001,0.02165466,0.1077322,0.01114166
1517579_R_pacman,0.2497558,0.0416426,0.1413892,0.02174109
1517581_A_pacman,0.2217196,0.009276043,0.1575807,0.01198744
1517581_R_pacman,0,0,0,0
1517582_A_pacman,0.1451897,0.009092782,0.1272834,0.004766071
1517582_F_pacman,0.20961,0.02198514,0.1207451,0.007045085
1517582_R_pacman,0,0,0,0
1517583_A_pacman,0.3465717,0.01123991,0.2320171,0.01302256
1517583_R_pacman,0,0,0,0
1517584_A_pacman,0.3387826,0.01920465,0.1601962,0.004243634
1517584_R_pacman,0,0,0,0
1517587_A_pacman,0.297793,0.02165576,0.1918693,0.01048589
1517587_R_pacman,0,0,0,0
1517589_A_pacman,0.2223844,0.02039471,0.1851257,0.006090219
1517589_R_pacman,0,0,0,0
1517590_A_pacman,0.3702439,0.03300685,0.1956839,0.003596718
1517590_R_pacman,0,0,0,0
1517592_A_pacman,0.2404141,0.01126182,0.1905053,0.001743635
1517592_R_pacman,0,0,0,0
1517593_A_pacman,0.06878378,0.003552793,0.09731555,0.002037413
1517593_R_pacman,0,0,0,0
1517594_A_pacman,0.202583,0.008761665,0.2085699,0.01556603
1517594_F_pacman,0.2188454,0.01380469,0.181245,0.0171957
1517594_R_pacman,0,0,0,0
1517596_A_pacman,0.2230851,0.01343348,0.2204332,0.01313571
1517596_F_pacman,0.362938,0.03452195,0.2281884,0.01176029
1517596_R_pacman,0,0,0,0
1517599_A_pacman,0.3063089,0.01625937,0.1702776,0.01020584
1517599_R_pacman,0,0,0,0
1517602_A_pacman,0.3039268,0.03394783,0.18594,0.01134549
1517602_R_pacman,0,0,0,0
1517609_A_pacman,0.002374349,0.002611742,0.000293071,0.00019832
1517609_F_pacman,0,0,0,0
1517609_R_pacman,0,0,0,0
1517638_F_pacman,0.1075415,0.0428692,0.01189983,0.004520493
1517638_R_pacman,0,0,0,0
1517822_F_pacman,0.08923417,0.01523461,0.06215039,0.008621785
1517822_R_pacman,0,0,0,0
1518257_IF_pacman,0.4215329,0.0424256,0.1704074,0.01787265
1518257_R_pacman,0.4036432,0.05055511,0.1695011,0.006510552
1518318_F_pacman,0.1901641,0.0364994,0.09252814,0.009702125
1518318_R_pacman,0.000356892,0.000480061,0.000260355,0.000296338
1518341_F_pacman,0.1697578,0.01324887,0.1262448,0.005668139
1518341_R_pacman,0.1821284,0.01910812,0.104164,0.005385468
1518522_IA_pacman,0.04240776,0.005438279,0.03107224,0.001344855
1518522_R_pacman,0.05274663,0.006941941,0.03423034,0.00224149
1518745_R_pacman,0.1013367,0.007802584,0.1459028,0.003878445
1518920_F_pacman,0.05244813,0.01144008,0.03584558,0.003556108
1518920_R_pacman,0,0,0,0
1519319_F_pacman,0.2183324,0.02442245,0.1093968,0.01326619
1519319_R_pacman,0,0,0,0
1519666_A_pacman,0.1276893,0.03971242,0.008491133,0.003300229
1519666_F_pacman,2.20E-05,6.11E-05,2.91E-05,3.99E-05
1519666_R_pacman,0,0,0,0
1519700_F_pacman,0.4579024,0.06899116,0.2365184,0.02804388
1519700_R_pacman,0,0,0,0
1519785_R_pacman,0.4045524,0.06218868,0.1096503,0.02666942
1519925_IF_pacman,0.08394449,0.004647333,0.1034969,0.001226448
1519925_R_pacman,0.0640411,0.003759649,0.05980916,0.003701651
1520101_F_pacman,0.2005,0.03565006,0.1280696,0.01158132
1520101_R_pacman,0,0,0,0
1528442_A_pacman,0.04402149,0.004246639,0.05465304,0.005348913
1528442_R_pacman,0,0,0,0
1528516_A_pacman,0.02976201,0.00692533,0.01336686,0.001658533
1528516_F_pacman,0.000120552,0.000139662,0.000125831,0.000172016
1528516_R_pacman,0,0,0,0
1528839_F_pacman,0.03047257,0.01040846,0.02259616,0.001986271
1528839_R_pacman,0,0,0,0
1529028_A_pacman,0.1937492,0.0437557,0.1454548,0.02869928
1529028_F_pacman,0,0,0,0
1529028_R_pacman,0,0,0,0
1529230_A_pacman,0.08604338,0.009940875,0.07967977,0.004318212
1529230_R_pacman,0,0,0,0
1529359_A_pacman,0.002061604,0.002365138,0.000184149,0.000122054
1529359_F_pacman,0,0,0,0
1529359_R_pacman,0,0,0,0
1529456_F_pacman,0.4152697,0.02037905,0.1625011,0.01088063
1529456_R_pacman,0,0,0,0
1531948_IF_pacman,0.06506482,0.003050989,0.04873723,0.003271885
1531948_R_pacman,0,0,0,0
1540018_A_pacman,0.1763618,0.008776194,0.1337778,0.00875726
1540018_R_pacman,0.1405515,0.03072545,0.05337975,0.009237706
1540019_A_pacman,0.1901947,0.0174932,0.1208287,0.01055944
1540019_R_pacman,0,0,0,0
