name,KH,error
1516917_R_pacman,0.0003297416,0.0002054227
1516918_F_pacman,0.5396969,0.313974
1516918_R_pacman,0.0002818365,0.000155582
1516919_F_pacman,1.02314,0.4636047
1516919_R_pacman,0.0001344139,5.826065e-05
1516920_F_pacman,0.7400841,0.3239756
1516920_R_pacman,0.0002449761,7.740308e-05
1516922_F_pacman,0.0003219298,6.032711e-05
1516922_R_pacman,2.777768e-07,1.802512e-08
1516975_R_pacman,2.980448e-06,6.669705e-08
1517043_F_pacman,0.2782195,0.08663588
1517043_R_pacman,8.884847e-06,6.338482e-06
1517058_F_pacman,0.01715418,0.004706842
1517058_R_pacman,1.529126e-23,1.973763e-23
1517148_A_pacman,0.004014297,0.002475276
1517148_R_pacman,1.571649e-30,1.594077e-30
1517297_F_pacman,2.132872e-05,2.496652e-06
1517297_R_pacman,1.861678e-08,4.755512e-09
1517465_A_pacman,6.754753e-06,4.680696e-07
1517465_R_pacman,6.503406e-06,2.667568e-07
1517466_A_pacman,0.0001648703,4.017886e-05
1517466_R_pacman,6.648704e-06,8.119072e-08
1517467_F_pacman,5.752773e-06,3.42888e-07
1517467_R_pacman,6.038713e-11,1.257368e-11
1517468_A_pacman,0.0001925394,0.0001623508
1517468_R_pacman,8.716857e-06,6.207986e-07
1517469_F_pacman,3.88335e-06,8.585882e-08
1517469_R_pacman,2.108791e-05,3.127922e-06
1517495_R_pacman,1.467385e-05,2.464586e-06
1517577_A_pacman,0.03658854,0.03774998
1517577_R_pacman,8.180172e-05,2.575635e-05
1517579_R_pacman,0.1173729,0.04116034
1517581_A_pacman,1.242255e-05,1.801899e-06
1517581_R_pacman,4.600517e-11,2.243533e-11
1517582_A_pacman,2.270693e-05,6.615151e-06
1517582_F_pacman,4.518428e-05,8.09984e-06
1517582_R_pacman,1.044053e-06,1.345757e-06
1517583_A_pacman,2.759852e-05,3.51824e-06
1517583_R_pacman,9.175033e-36,3.020169e-36
1517584_A_pacman,8.362235e-05,1.401629e-05
1517584_R_pacman,5.713486e-23,4.991354e-23
1517587_A_pacman,0.1196442,0.04235264
1517587_R_pacman,3.948953e-08,2.637611e-08
1517589_A_pacman,0.08249646,0.02107022
1517589_R_pacman,6.153129e-14,8.89911e-15
1517590_A_pacman,23.87809,53.79311
1517590_R_pacman,1.473386e-10,7.636234e-11
1517592_A_pacman,0.03376342,0.01362217
1517592_R_pacman,3.554615e-07,1.434338e-07
1517593_A_pacman,0.06447255,0.04736132
1517593_R_pacman,9.556021e-16,9.883646e-16
1517594_A_pacman,0.0008864716,0.0005933047
1517594_F_pacman,1.327603e-05,1.652264e-06
1517594_R_pacman,1.963206e-17,1.316232e-17
1517596_A_pacman,4.862673e-06,9.548762e-08
1517596_F_pacman,1.620006e-05,1.550634e-06
1517596_R_pacman,8.81267e-15,7.967037e-15
1517599_A_pacman,6.072421e-05,7.54973e-06
1517599_R_pacman,1.4652e-45,2.548093e-45
1517602_A_pacman,0.002376619,0.0006257458
1517602_R_pacman,1.185297e-12,7.972929e-13
1517609_A_pacman,0.4016003,0.1200301
1517609_F_pacman,2.012222e-05,1.964836e-05
1517609_R_pacman,2.067149e-44,2.115114e-44
1517638_F_pacman,0.008401184,0.003078756
1517638_R_pacman,4.336841e-30,8.50618e-30
1517822_F_pacman,0.0008168315,0.0002006105
1517822_R_pacman,3.174e-36,4.769977e-36
1518257_IF_pacman,0.0001623086,4.438822e-05
1518257_R_pacman,0.0001511046,2.349304e-05
1518318_F_pacman,0.009766467,0.00179206
1518318_R_pacman,2.480033e-05,3.860065e-06
1518341_F_pacman,4.045784e-05,6.553549e-06
1518341_R_pacman,0.002345688,0.0001373315
1518522_IA_pacman,3345.875,3079.507
1518522_R_pacman,2.22708e-05,1.41578e-05
1518745_R_pacman,3.297641e-06,6.055771e-08
1518920_F_pacman,0.000171937,1.615657e-05
1518920_R_pacman,1.161216e-37,2.096034e-37
1519319_F_pacman,0.02168454,0.008734388
1519319_R_pacman,1.882526e-14,1.961534e-14
1519666_A_pacman,21752.95,19340.35
1519666_F_pacman,3.12656e-05,1.178093e-05
1519666_R_pacman,2.18001e-31,3.936301e-31
1519700_F_pacman,1.080776e-05,2.196371e-06
1519700_R_pacman,1.28228e-08,6.408103e-09
1519785_R_pacman,0.5365409,0.4418419
1519925_IF_pacman,1.370136,0.929893
1519925_R_pacman,0.5346239,0.2530441
1520101_F_pacman,0.0002725767,4.547986e-05
1520101_R_pacman,0.0008264813,0.0006486017
1528442_A_pacman,0.0175479,0.004153326
1528442_R_pacman,2.281924e-20,2.798328e-20
1528516_A_pacman,35249.32,57335.92
1528516_F_pacman,0.5194215,0.1450039
1528516_R_pacman,2.377592e-33,4.501733e-33
1528839_F_pacman,11.60044,6.728976
1528839_R_pacman,1.169397e-42,3.24379e-42
1529028_A_pacman,2.882794e-05,3.385402e-06
1529028_F_pacman,3.727371e-06,7.013551e-07
1529028_R_pacman,5.168385e-52,8.907766e-52
1529230_A_pacman,9939427.0,17930700.0
1529230_R_pacman,2.111853e-13,2.019355e-13
1529359_A_pacman,0.2236715,0.3294115
1529359_F_pacman,5.740093e-08,1.703645e-08
1529359_R_pacman,6.968778e-93,1.225735e-92
1529456_F_pacman,0.01657254,0.002981106
1529456_R_pacman,3.299915e-08,2.940399e-09
1531948_IF_pacman,11959.93,11125.01
1531948_R_pacman,0.001806194,0.002439349
1540018_A_pacman,182.7098,345.4608
1540018_R_pacman,0.001177991,0.0001324317
1540019_A_pacman,2.737438,2.924828
1540019_R_pacman,3.796845e-12,1.714053e-12
1540020_A_pacman,219.3527,285.2265
1540020_R_pacman,0.0002563098,4.04105e-05
1540551_F_pacman,6.112253e-06,3.079095e-07
