name,n_atom,ave_mass,Volume,Density,sg,Di,Df,Dif,VF,PV,ASA,NASA,topology,catention,dimension,f-sbu-chi-0,f-sbu-chi-1,f-sbu-chi-2,f-sbu-chi-3,f-sbu-Z-0,f-sbu-Z-1,f-sbu-Z-2,f-sbu-Z-3,f-sbu-I-0,f-sbu-I-1,f-sbu-I-2,f-sbu-I-3,f-sbu-T-0,f-sbu-T-1,f-sbu-T-2,f-sbu-T-3,f-sbu-S-0,f-sbu-S-1,f-sbu-S-2,f-sbu-S-3,mc-chi-0,mc-chi-1,mc-chi-2,mc-chi-3,mc-Z-0,mc-Z-1,mc-Z-2,mc-Z-3,mc-I-0,mc-I-1,mc-I-2,mc-I-3,mc-T-0,mc-T-1,mc-T-2,mc-T-3,mc-S-0,mc-S-1,mc-S-2,mc-S-3,D_mc-chi-0,D_mc-chi-1,D_mc-chi-2,D_mc-chi-3,D_mc-Z-0,D_mc-Z-1,D_mc-Z-2,D_mc-Z-3,D_mc-I-0,D_mc-I-1,D_mc-I-2,D_mc-I-3,D_mc-T-0,D_mc-T-1,D_mc-T-2,D_mc-T-3,D_mc-S-0,D_mc-S-1,D_mc-S-2,D_mc-S-3,f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,KH,error,co2,co2_error,n2,n2_error
1101211_R,172,10.6990587,1400.37,2.18213,15,1.8139,0.91523,1.80763,0.2524,0.115667,0,0,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08E-30,1.75E-29,0,0,0,0
1101216_R,128,10.1898445,1180.82,1.83418,14,2.0679,1.34455,2.05921,0.2956,0.161162,0,0,sql,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49E-25,3.76E-25,0,0,0,0
1101217_R,152,9.319184842,1376.48,1.70884,14,2.07546,1.32036,2.07546,0.3124,0.182814,0,0,sql,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94E-28,1.26E-27,0,0,0,0
1503321_R,116,10.61403448,1163.83,1.75673,14,2.37216,1.21446,2.36514,0.312,0.177602,0,0,sql,1,2,225.3016,432.6128,757.6588,829.6144,3006,5712,6672,6848,32,64,104,112,168,384,464,528,16.5388,38.9628,52.5144,59.0508,3.61,26.144,19.437,37.297,841,928,986,1334,1,4,4,7,16,32,48,84,1.9044,4.0296,4.5954,7.3278,0,-6.16,-2.63,-6.33,0,84,82,157,0,0,0,0,0,8,4,7,0,2.6,2.19,4.35,128.3944,246.075,387.7442,416.219,550,1056,1478,1538,18,36,56,60,92,214,272,276,7.6962,17.3404,24.344,26.0108,11.8336,8.8236,18.56453333,34.19933333,64,88,101.3333333,81.33333333,1,1,2,4.333333333,1,3,6.333333333,6.666666667,0.5329,0.65335,1.114466667,1.5111,28.09,81.355,109.18,145.5159962,0,0.875,1.483333333,4.965,0,-3,3.333333333,24.5,0,0,0,0,0,-2,-4.333333333,-2.333333333,0,-0.165,-0.066666667,1.093333333,0,-10.05,-10,-4.489181667,9.245,19.7886,37.152,16.34,160,208,108,56,1,2.5,5.5,2,6.5,20.5,18,8,0.78665,1.7198,2.09945,0.8322,202.225,330.52,358.0353265,83.777683,0,0.49,3.89,2.13,0,16,57.5,9,0,0,0,0,0,-1.5,6.5,0,0,0.355,2.45,0.32,0,9.15,39.868005,-5.20711,1.83E-17,9.83E-18,0,0,0,0
1504785_R,154,13.71336364,1823.36,1.92332,2,2.94321,1.49703,2.7464,0.3256,0.16929,0,0,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78E-09,1.05E-09,0,0,0,0
1505303_R,328,11.80307244,3673.61,1.74996,19,2.68214,1.39332,2.67863,0.369,0.210862,0,0,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.60E-11,3.41E-11,0,0,0,0
1505372_R,714,9.802159328,7469.84,1.55582,15,2.7141,1.50701,2.41434,0.3638,0.233832,0,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-09,1.72E-09,0,0,0,0
1505750_R,752,19.98215617,10174.5,2.45244,61,2.56519,1.04575,2.56264,0.3078,0.125508,0,0,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98E-06,1.78E-06,0,0,0,0
1507799_R,356,12.02502247,15328.1,0.463781,138,12.24267,10.65678,12.23805,0.8236,1.77584,2143.69,0,pcu,2,3,203.7418,392.16,843.666,934.992,4648,8832,18960,20160,23,56,96,132,152,416,720,864,17.3495,44.092,76.776,102.5796,2.7225,22.704,20.79,63.7065,900,960,3240,2700,1,4,6,12,16,40,84,108,1.7161,3.8252,8.1744,11.6328,0,-7.16,-2.7,-18.81,0,88,72,270,0,0,0,0,0,6,3,21,0,2.32,1.62,6.84,190.0944,381.021,583.1404,695.447,840,1704,2416,2432,28,58,88,110,146,356,484,486,12.7132,29.2138,41.8328,46.2942,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74E-06,3.37E-08,0.00035038,0.000126222,0.1496239,0.003387493
1507817_R,70,22.62939829,1049.34,2.50673,2,2.6928,1.60246,2.6928,0.3682,0.146884,0,0,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04E-10,7.82E-11,0,0,0,0
