name,LCD_0,PLD_0,LFPD_0,volume_0,density_0,VF_0,PV_0,LCD_1,PLD_1,LFPD_1,volume_1,density_1,VF_1,PV_1,delta_PLD,delta_LCD,delta_PV
KILJEV_clean,3.8471,3.18487,3.8471,747.826,1.95946,0.3714,0.189542,3.78452,3.27853,3.78452,757.176,1.93526,0.3668,0.189535,0.09366,0.06258,7.00E-06
KINPUU_clean,5.05149,4.16273,5.05149,1769.5,1.13092,0.472,0.41736,4.38065,3.24695,4.04576,1627.33,1.22972,0.4168,0.338938,0.91578,0.67084,0.078422
KINQAB_clean,5.08301,4.08699,5.08301,1777.76,1.12522,0.4816,0.428007,4.62743,2.27603,4.5718,1634.01,1.22421,0.405,0.330827,1.81096,0.45558,0.09718
KINRIK_clean,9.88968,4.92546,9.88968,10175.6,1.29557,0.6556,0.506033,8.58831,2.47521,8.58831,6804.18,1.9375,0.4912,0.253522,2.45025,1.30137,0.252511
KINROQ_clean,9.89689,4.83991,9.89689,10150.5,1.30206,0.6728,0.516719,8.47664,3.35311,8.47664,8007.77,1.65046,0.5574,0.337724,1.4868,1.42025,0.178995
KISPOS_ion_b,7.35998,2.51949,7.26435,7225.7,1.4321,0.453,0.316319,7.27767,2.0219,7.2073,6776.83,1.52696,0.4126,0.270211,0.49759,0.08231,0.046108
KISVEO_clean,12.37009,6.46344,12.37009,7728.81,2.21622,0.6832,0.308273,12.72255,6.7259,12.72255,6651.42,2.5752,0.633,0.245806,0.26246,0.35246,0.062467
KIXKOS_ion_b,8.17772,2.85859,8.12695,6998.92,1.42721,0.4676,0.327632,7.33455,2.74913,7.33455,6940.69,1.43919,0.4494,0.31226,0.10946,0.84317,0.015372
KOMCOG_clean,8.16574,7.70255,8.16574,7320.8,0.987789,0.5818,0.588992,8.28573,7.7722,8.26553,7422.12,0.974304,0.5712,0.586264,0.06965,0.11999,0.002728
KOMDAT_clean,8.31487,7.41464,8.31487,14472.4,0.998413,0.5778,0.578718,8.46961,7.6746,8.44422,14747.7,0.979775,0.5792,0.591156,0.25996,0.15474,0.012438
KONFEA_clean,4.38049,3.3323,4.38049,1234.53,2.13644,0.406,0.190036,4.16172,3.07177,4.16172,1254.98,2.10163,0.4112,0.195658,0.26053,0.21877,0.005622
KONFIE_clean,4.23932,3.28223,4.21233,1198.06,2.20818,0.377,0.170729,3.9952,3.18204,3.95686,1193.31,2.21698,0.3766,0.16987,0.10019,0.24412,0.000859
KOVJAI_clean,5.14485,3.87668,5.14485,1085.25,1.59025,0.5728,0.360194,3.16323,2.06127,3.0495,782.62,2.20518,0.4092,0.185563,1.81541,1.98162,0.174631
KOVJAI01_clean,4.84274,3.82111,4.81697,2199.71,1.56913,0.5894,0.375621,3.48685,2.16302,3.20126,1555.96,2.21833,0.4272,0.192577,1.65809,1.35589,0.183044
KUKPOX_clean,5.09243,4.13394,5.09243,1680.12,1.44975,0.5458,0.376479,4.21876,3.04518,3.96158,1415.7,1.72053,0.4542,0.263989,1.08876,0.87367,0.11249
KUQWIE_clean,4.09305,3.50738,4.08249,1196.89,2.15741,0.403,0.186798,3.66759,2.78072,3.66759,1120.1,2.30533,0.3398,0.147398,0.72666,0.42546,0.0394
LECGIL_clean,10.08545,7.23049,10.05399,3515.7,0.936646,0.727,0.776173,10.03713,5.3183,9.73714,3427.76,0.960675,0.7072,0.736149,1.91219,0.04832,0.040024
LETDEU_clean,8.60977,8.56919,8.60977,2684.03,1.61724,0.6132,0.379164,5.60866,4.78639,5.60866,2142.19,2.0263,0.4964,0.244979,3.7828,3.00111,0.134185
LETDUK_clean,7.09435,6.39708,7.09301,791.558,1.10433,0.7078,0.640932,5.7856,5.39665,5.78459,559.582,1.56213,0.563,0.360405,1.00043,1.30875,0.280527
LEVYOC_clean,4.43687,3.53475,4.41654,2093.84,1.7513,0.4316,0.246445,3.79411,2.56844,3.79411,1787.43,2.05152,0.3448,0.168071,0.96631,0.64276,0.078374
LEWMUX_clean,9.4187,3.8157,9.4187,2110.68,1.15388,0.6022,0.521892,8.42794,3.17046,8.42794,1926.97,1.26388,0.5414,0.428363,0.64524,0.99076,0.093529
LIFSAW_clean,5.78197,3.73105,5.78125,3129.76,1.26392,0.545,0.431199,6.37107,4.23462,6.37107,3292.95,1.20128,0.5442,0.453018,0.50357,0.5891,0.021819
LIFSEA_clean,5.51876,3.61845,5.50939,3126.12,1.29733,0.5114,0.394193,5.72613,3.48338,5.72057,2924.06,1.38698,0.4594,0.331223,0.13507,0.20737,0.06297
LIJNOJ_clean,4.86409,3.58736,4.86084,4614.24,1.2994,0.4026,0.309835,4.38872,3.12121,4.38156,4402.51,1.36189,0.3556,0.261107,0.46615,0.47537,0.048728
LIJNOJ01_clean,4.89974,3.67881,4.89918,4661.25,1.2863,0.407,0.316412,4.38498,3.11887,4.37392,4399.94,1.36269,0.355,0.260515,0.55994,0.51476,0.055897
LITCIC_clean,7.20254,4.1628,7.20189,2838.07,0.886931,0.6382,0.71956,6.27243,3.91117,6.27243,2497.03,1.00807,0.5772,0.57258,0.25163,0.93011,0.14698
LITCOI_clean,7.3608,3.74622,7.34808,5345.75,1.05285,0.6144,0.583557,6.83618,3.52627,6.82392,5348.76,1.05226,0.6044,0.574382,0.21995,0.52462,0.009175
LITCUO_clean,5.34738,3.24586,5.31115,4895.65,1.05342,0.5662,0.537486,5.71733,2.98431,4.60116,4907.4,1.0509,0.5558,0.52888,0.26155,0.36995,0.008606
LITDAV_clean,6.01025,4.24331,5.99993,4954.04,1.01002,0.5946,0.588704,5.70479,3.62172,5.64608,4713.68,1.06152,0.563,0.530372,0.62159,0.30546,0.058332
LIVTIT_clean,5.03165,4.4933,5.03165,3643.76,0.873833,0.6556,0.750258,3.95643,2.75832,3.83126,2200.98,1.44664,0.4452,0.307747,1.73498,1.07522,0.442511
LIXWEV_clean,5.08233,3.24401,5.06419,2883.93,1.80159,0.4824,0.267764,5.08437,2.5643,5.05984,2848.03,1.8243,0.4654,0.255112,0.67971,0.00204,0.012652
LOLQIM_clean,4.99964,2.73654,4.93954,786.183,1.79928,0.5272,0.293007,3.68938,1.57349,3.68938,641.691,2.20443,0.4252,0.192885,1.16305,1.31026,0.100122
LONWIW_clean,6.32722,5.3124,6.00348,5275.34,0.832586,0.6626,0.795834,3.58747,2.49968,3.54968,3005.05,1.4616,0.4136,0.282978,2.81272,2.73975,0.512856
LUJBAV_clean,4.98066,3.41209,4.87542,4755.26,1.46601,0.4182,0.285264,5.12688,3.40195,5.11642,4612.55,1.51137,0.3876,0.256456,0.01014,0.14622,0.028808
LUJPUC_clean,7.06321,4.67137,6.57497,965.049,1.16372,0.5978,0.513697,6.06836,5.48964,6.06836,907.956,1.2369,0.592,0.478617,0.81827,0.99485,0.03508
LUMZUO_clean,5.98461,4.76477,5.96038,2985.76,1.86922,0.6836,0.365714,6.43541,4.98312,6.37918,3506.4,1.59167,0.7106,0.446449,0.21835,0.4508,0.080735
LUNBAX_clean,5.92168,4.6498,5.90413,2921.73,1.91328,0.6782,0.354471,6.66139,4.58351,6.63012,3340.1,1.67363,0.6982,0.417178,0.06629,0.73971,0.062707
LUNBEB_clean,5.83182,4.56735,5.81257,2840.17,1.97905,0.6794,0.343296,1.72077,0.58153,1.46174,835.405,6.72829,0.0948,0.0140898,3.98582,4.11105,0.3292062
LUNBIF_clean,8.36527,6.6245,8.36354,2929.17,1.86674,0.7178,0.38452,8.33225,6.70135,8.10863,2936.16,1.8623,0.721,0.387156,0.07685,0.03302,0.002636
MABLAD_clean,5.34449,3.90767,5.34449,2525.26,1.19766,0.4728,0.394769,4.95088,3.29292,4.94527,2384.3,1.26847,0.4278,0.337257,0.61475,0.39361,0.057512
MAGVOG02_clean,3.76101,3.0537,3.76101,311.783,1.78918,0.5162,0.288512,3.47088,2.37185,3.40134,312.67,1.7841,0.501,0.280814,0.68185,0.29013,0.007698
MAGVOG03_clean,3.66626,3.00986,3.66626,308.285,1.80948,0.5094,0.281518,3.25759,2.5786,3.25759,315.702,1.76697,0.4886,0.276519,0.43126,0.40867,0.004999
MAGVOG04_clean,3.59179,3.07435,3.59179,306.018,1.82288,0.5042,0.276595,3.20581,1.68521,3.20581,285.925,1.95098,0.4392,0.225117,1.38914,0.38598,0.051478
MAGVOG05_clean,3.52966,3.02857,3.52966,304.376,1.83271,0.503,0.274456,3.54269,2.32436,3.51257,309.207,1.80408,0.4762,0.263957,0.70421,0.01303,0.010499
MAGVOG06_clean,3.3591,3.02269,3.3591,302.378,1.84482,0.501,0.271571,2.65138,1.69298,2.48496,262.707,2.12341,0.387,0.182254,1.32971,0.70772,0.089317
MAGVOG07_clean,3.42382,3.00605,3.42382,1170.47,1.90636,0.4994,0.261965,3.5319,2.33504,3.4858,1240.15,1.79925,0.4752,0.26411,0.67101,0.10808,0.002145
MAGVOG08_clean,3.57665,2.93929,3.57665,1159.59,1.92425,0.5036,0.261713,2.84946,1.29463,2.80527,1025.83,2.17515,0.3864,0.177643,1.64466,0.72719,0.08407
MAGVOG09_clean,3.36299,2.86661,3.36299,1139.6,1.95801,0.4854,0.247905,3.79125,2.54186,3.18233,1200.24,1.85908,0.4616,0.248295,0.32475,0.42826,0.00039
MAGVOG10_clean,3.24911,2.82176,3.24911,1126,1.98165,0.4858,0.245149,2.69689,1.41584,2.48809,1036.07,2.15366,0.3948,0.183316,1.40592,0.55222,0.061833
MAGVOG11_clean,3.25643,2.83841,3.25643,1104.52,2.02018,0.4762,0.235722,3.26057,2.12207,3.23133,1089.09,2.04881,0.4132,0.201678,0.71634,0.00414,0.034044
MAGVOG12_clean,3.24962,2.80058,3.24962,1099.34,2.02971,0.471,0.232053,4.65624,3.45288,4.65624,1158.33,1.92634,0.4598,0.238691,0.6523,1.40662,0.006638
MAGVOG13_clean,3.1603,2.64187,3.13218,1087.66,2.0515,0.4656,0.226956,4.03004,2.8344,3.55566,1058.55,2.10791,0.3994,0.189477,0.19253,0.86974,0.037479
MAGVOG14_clean,3.23099,2.81571,3.19639,1081.2,2.06375,0.4654,0.225511,4.10618,3.31058,4.10618,1179.67,1.89149,0.4624,0.244464,0.49487,0.87519,0.018953
MAGVOG15_clean,3.34726,2.84004,3.25668,1071.34,2.08276,0.469,0.225182,5.13528,4.18921,5.13528,1219.04,1.8304,0.474,0.25896,1.34917,1.78802,0.033778
MAGVOG16_clean,3.75593,3.07694,3.75593,312.893,1.78283,0.5164,0.289652,3.45213,2.88556,3.45213,329.297,1.69402,0.5072,0.299406,0.19138,0.3038,0.009754
MAGVOG17_clean,3.77611,3.07376,3.77611,312.962,1.78243,0.5174,0.290277,2.67694,1.73856,2.67694,262.854,2.12222,0.3838,0.180848,1.3352,1.09917,0.109429
MAGVOG18_clean,3.79122,3.07658,3.79122,313.275,1.78066,0.5192,0.291578,3.0736,1.86717,3.0736,294.745,1.8926,0.4572,0.241572,1.20941,0.71762,0.050006
MAGVOG19_clean,3.8036,3.08426,3.8036,313.801,1.77767,0.5198,0.292405,3.54577,2.32416,3.51606,309.267,1.80373,0.466,0.258353,0.7601,0.25783,0.034052
MAGVOG20_clean,3.81924,3.0828,3.81924,314.027,1.77639,0.5226,0.294192,3.44367,2.99515,3.44367,323.29,1.72549,0.5118,0.296611,0.08765,0.37557,0.002419
MAGVOG21_clean,3.83389,3.09337,3.83389,314.432,1.7741,0.5242,0.295474,1.83938,0.94937,1.83938,242.516,2.3002,0.3416,0.148509,2.144,1.99451,0.146965
MAGVOG22_clean,3.52251,2.99402,3.52251,307.722,1.81279,0.508,0.280231,3.54553,2.32349,3.51484,309.365,1.80316,0.4662,0.258546,0.67053,0.02302,0.021685
MAGVOG23_clean,3.54406,2.98963,3.54406,307.835,1.81212,0.508,0.280334,2.65312,1.68658,2.4795,262.706,2.12342,0.3888,0.183101,1.30305,0.89094,0.097233
MAGVOG24_clean,3.55679,3.00895,3.55679,308.558,1.80787,0.5078,0.280882,3.33302,2.90216,3.33302,321.653,1.73428,0.5002,0.28842,0.10679,0.22377,0.007538
