feature,importance
f-link-Z-2,0.03058004285023547
D_mc-chi-3,0.02541070819093222
f-link-chi-0,0.025330178007304464
D_mc-chi-2,0.02457386521714647
cell_00_0,0.022571506934184814
f-link-Z-1,0.022422233363603373
lc-Z-2,0.022412534423890358
f-link-Z-3,0.022270955829081108
f-link-S-1,0.02208827094808249
f-link-S-0,0.021903659254109475
f-link-Z-0,0.02186824638955248
LCD_0,0.02172232877532925
cell_22_0,0.02169264003075092
D_mc-S-2,0.021649170532331164
cell_11_0,0.021223403409517193
f-sbu-chi-3,0.02087335183161817
D_mc-Z-2,0.020565472670473674
VF_0,0.020535011157552827
density_0,0.020509535791145027
N_atoms,0.020413716741222963
LFPD_0,0.020357087721376014
volume_0,0.02034260164839792
mc-chi-3,0.020137408929628203
f-sbu-chi-2,0.020084661686815126
mc-S-2,0.02003773015314542
PV_0,0.02001405354579912
f-sbu-chi-0,0.019938602582582742
f-link-I-3,0.019752177063328893
f-link-chi-1,0.019559782743806375
PLD_0,0.01917352897411382
mc-S-1,0.018966454135842026
f-link-S-2,0.018816355508929135
mc-T-3,0.018793827480785327
f-link-T-3,0.018732089744372453
mc-chi-2,0.018655848647908823
f-sbu-S-0,0.018531691505060444
f-sbu-S-1,0.018306500863709718
f-link-chi-2,0.017787548900242662
f-sbu-Z-3,0.017467347381157915
mc-chi-1,0.017241751370932527
mc-Z-3,0.017217740235680862
f-sbu-chi-1,0.017204557476984045
mc-S-3,0.0171779111062235
f-link-T-2,0.01703802747133201
D_mc-Z-3,0.016940265213279924
f-sbu-Z-0,0.016497282615746515
f-sbu-S-3,0.016408187518817553
f-sbu-Z-2,0.01616493869102157
D_mc-S-1,0.01605437967510801
mc-Z-2,0.01598282705980744
